TIME,X2,Y2,Z2
"('2022-03-28 14:28:08',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:06',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:06',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:28:06',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:28:06',)","('55',)","('55',)","('-234',)"
"('2022-03-28 14:28:06',)","('55',)","('54',)","('-236',)"
"('2022-03-28 14:28:06',)","('56',)","('52',)","('-236',)"
"('2022-03-28 14:28:06',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:28:06',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:06',)","('55',)","('53',)","('-236',)"
"('2022-03-28 14:28:06',)","('56',)","('53',)","('-236',)"
"('2022-03-28 14:28:06',)","('56',)","('52',)","('-236',)"
"('2022-03-28 14:28:06',)","('56',)","('52',)","('-234',)"
"('2022-03-28 14:28:06',)","('56',)","('53',)","('-235',)"
"('2022-03-28 14:28:06',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:28:05',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:28:05',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:28:05',)","('58',)","('51',)","('-236',)"
"('2022-03-28 14:28:05',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:28:05',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:28:05',)","('56',)","('52',)","('-235',)"
"('2022-03-28 14:28:04',)","('57',)","('54',)","('-236',)"
"('2022-03-28 14:28:04',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:04',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:04',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:03',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:03',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:28:03',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:28:03',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:28:03',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:28:03',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:28:03',)","('56',)","('52',)","('-235',)"
"('2022-03-28 14:28:03',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:28:02',)","('57',)","('53',)","('-234',)"
"('2022-03-28 14:28:01',)","('57',)","('52',)","('-236',)"
"('2022-03-28 14:28:01',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:28:01',)","('59',)","('52',)","('-237',)"
"('2022-03-28 14:28:01',)","('58',)","('52',)","('-236',)"
"('2022-03-28 14:28:01',)","('58',)","('53',)","('-236',)"
"('2022-03-28 14:27:59',)","('58',)","('54',)","('-235',)"
"('2022-03-28 14:27:59',)","('57',)","('52',)","('-233',)"
"('2022-03-28 14:27:59',)","('56',)","('53',)","('-237',)"
"('2022-03-28 14:27:59',)","('56',)","('53',)","('-236',)"
"('2022-03-28 14:27:59',)","('58',)","('52',)","('-235',)"
"('2022-03-28 14:27:59',)","('58',)","('50',)","('-238',)"
"('2022-03-28 14:27:59',)","('58',)","('52',)","('-238',)"
"('2022-03-28 14:27:59',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:27:59',)","('57',)","('53',)","('-235',)"
"('2022-03-28 14:27:59',)","('56',)","('53',)","('-234',)"
"('2022-03-28 14:27:59',)","('57',)","('53',)","('-236',)"
"('2022-03-28 14:27:59',)","('57',)","('53',)","('-238',)"
"('2022-03-28 14:27:58',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:27:58',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:27:58',)","('58',)","('50',)","('-235',)"
"('2022-03-28 14:27:58',)","('58',)","('51',)","('-235',)"
"('2022-03-28 14:27:58',)","('58',)","('53',)","('-237',)"
