TIME,X,Y,Z
"('2022-03-28 14:13:22',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-51,)","(27,)","(-202,)"
"('2022-03-28 14:13:22',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:20',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:20',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:20',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:20',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:20',)","(-49,)","(26,)","(-199,)"
"('2022-03-28 14:13:20',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:20',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:18',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:18',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:18',)","(-49,)","(28,)","(-199,)"
"('2022-03-28 14:13:18',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:18',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:16',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-199,)"
