TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
"('2022-03-29 17:26:46',)","(-38,)","(56,)","(-194,)"
"('2022-03-29 17:26:45',)","(-33,)","(45,)","(-201,)"
"('2022-03-29 17:26:45',)","(-40,)","(45,)","(-197,)"
"('2022-03-29 17:26:45',)","(-44,)","(51,)","(-197,)"
"('2022-03-29 17:26:44',)","(-42,)","(32,)","(-195,)"
"('2022-03-29 17:26:44',)","(-35,)","(38,)","(-194,)"
"('2022-03-29 17:26:43',)","(-33,)","(38,)","(-202,)"
"('2022-03-29 17:26:43',)","(-46,)","(40,)","(-208,)"
"('2022-03-29 17:26:43',)","(-54,)","(42,)","(-204,)"
"('2022-03-29 17:26:43',)","(-46,)","(40,)","(-198,)"
"('2022-03-29 17:26:42',)","(-39,)","(39,)","(-203,)"
"('2022-03-29 17:26:42',)","(-34,)","(39,)","(-204,)"
"('2022-03-29 17:26:41',)","(-43,)","(30,)","(-196,)"
"('2022-03-29 17:26:41',)","(-41,)","(33,)","(-197,)"
"('2022-03-29 17:26:41',)","(-38,)","(36,)","(-198,)"
"('2022-03-29 17:26:40',)","(-40,)","(31,)","(-202,)"
"('2022-03-29 17:26:40',)","(-41,)","(30,)","(-195,)"
"('2022-03-29 17:26:39',)","(-42,)","(37,)","(-202,)"
"('2022-03-29 17:26:39',)","(-42,)","(39,)","(-202,)"
"('2022-03-29 17:26:39',)","(-40,)","(39,)","(-200,)"
"('2022-03-29 17:26:39',)","(-40,)","(39,)","(-200,)"
"('2022-03-29 17:26:38',)","(-34,)","(32,)","(-200,)"
"('2022-03-29 17:26:38',)","(-36,)","(30,)","(-206,)"
"('2022-03-29 17:26:38',)","(-37,)","(36,)","(-203,)"
"('2022-03-29 17:26:38',)","(-41,)","(41,)","(-204,)"
"('2022-03-29 17:26:38',)","(-40,)","(43,)","(-202,)"
"('2022-03-29 17:26:38',)","(-38,)","(39,)","(-198,)"
"('2022-03-29 17:26:38',)","(-39,)","(36,)","(-198,)"
"('2022-03-29 17:26:38',)","(-38,)","(33,)","(-199,)"
"('2022-03-29 17:26:38',)","(-41,)","(36,)","(-201,)"
"('2022-03-29 17:26:38',)","(-41,)","(35,)","(-201,)"
"('2022-03-29 17:26:37',)","(-35,)","(39,)","(-205,)"
"('2022-03-29 17:26:37',)","(-37,)","(42,)","(-203,)"
"('2022-03-29 17:26:37',)","(-33,)","(40,)","(-200,)"
"('2022-03-29 17:26:37',)","(-34,)","(39,)","(-198,)"
"('2022-03-29 17:26:37',)","(-31,)","(34,)","(-200,)"
"('2022-03-29 17:26:36',)","(-42,)","(39,)","(-200,)"
"('2022-03-29 17:26:36',)","(-47,)","(40,)","(-201,)"
"('2022-03-29 17:26:36',)","(-46,)","(41,)","(-203,)"
"('2022-03-29 17:26:36',)","(-42,)","(41,)","(-200,)"
"('2022-03-29 17:26:36',)","(-38,)","(38,)","(-204,)"
"('2022-03-29 17:26:36',)","(-38,)","(34,)","(-200,)"
"('2022-03-29 17:26:36',)","(-40,)","(32,)","(-200,)"
"('2022-03-29 17:26:36',)","(-42,)","(37,)","(-200,)"
"('2022-03-29 17:26:36',)","(-44,)","(41,)","(-198,)"
"('2022-03-29 17:26:35',)","(-32,)","(35,)","(-205,)"
"('2022-03-29 17:26:35',)","(-32,)","(37,)","(-199,)"
"('2022-03-29 17:26:35',)","(-39,)","(36,)","(-205,)"
"('2022-03-29 17:26:33',)","(-34,)","(39,)","(-213,)"
"('2022-03-29 17:26:33',)","(-34,)","(37,)","(-200,)"
"('2022-03-29 17:26:33',)","(-44,)","(39,)","(-199,)"
"('2022-03-29 17:26:33',)","(-42,)","(38,)","(-201,)"
"('2022-03-29 17:26:33',)","(-44,)","(39,)","(-195,)"
"('2022-03-29 17:26:33',)","(-41,)","(40,)","(-202,)"
"('2022-03-29 17:26:32',)","(-42,)","(39,)","(-214,)"
"('2022-03-29 17:26:32',)","(-42,)","(42,)","(-209,)"
"('2022-03-29 17:26:32',)","(-36,)","(42,)","(-201,)"
"('2022-03-29 17:26:32',)","(-33,)","(40,)","(-196,)"
"('2022-03-29 17:26:32',)","(-32,)","(38,)","(-198,)"
"('2022-03-29 17:26:32',)","(-32,)","(35,)","(-193,)"
TIME,X2,Y2,Z2
"('2022-03-29 17:28:23',)","(-14,)","(67,)","(-77,)"
"('2022-03-29 17:28:23',)","(-70,)","(110,)","(-170,)"
"('2022-03-29 17:28:23',)","(-75,)","(60,)","(-248,)"
"('2022-03-29 17:28:23',)","(-17,)","(-7,)","(-222,)"
"('2022-03-29 17:28:22',)","(-84,)","(13,)","(-288,)"
"('2022-03-29 17:28:22',)","(-32,)","(57,)","(-259,)"
"('2022-03-29 17:28:22',)","(0,)","(85,)","(-124,)"
"('2022-03-29 17:28:21',)","(-37,)","(32,)","(-195,)"
"('2022-03-29 17:28:21',)","(-40,)","(36,)","(-196,)"
"('2022-03-29 17:28:20',)","(-32,)","(34,)","(-198,)"
"('2022-03-29 17:28:20',)","(-36,)","(31,)","(-203,)"
"('2022-03-29 17:28:19',)","(-36,)","(39,)","(-197,)"
"('2022-03-29 17:28:19',)","(-32,)","(36,)","(-207,)"
"('2022-03-29 17:28:17',)","(-46,)","(36,)","(-208,)"
"('2022-03-29 17:28:17',)","(-39,)","(33,)","(-218,)"
"('2022-03-29 17:28:17',)","(-32,)","(27,)","(-206,)"
"('2022-03-29 17:28:17',)","(-28,)","(22,)","(-193,)"
"('2022-03-29 17:28:17',)","(-34,)","(24,)","(-198,)"
"('2022-03-29 17:28:17',)","(-43,)","(27,)","(-209,)"
"('2022-03-29 17:28:17',)","(-49,)","(29,)","(-207,)"
"('2022-03-29 17:28:17',)","(-50,)","(30,)","(-195,)"
"('2022-03-29 17:28:16',)","(-36,)","(36,)","(-204,)"
"('2022-03-29 17:28:16',)","(-48,)","(40,)","(-218,)"
"('2022-03-29 17:28:16',)","(-49,)","(44,)","(-200,)"
"('2022-03-29 17:28:16',)","(-40,)","(42,)","(-188,)"
"('2022-03-29 17:28:16',)","(-33,)","(41,)","(-192,)"
"('2022-03-29 17:28:16',)","(-27,)","(38,)","(-207,)"
"('2022-03-29 17:28:16',)","(-32,)","(37,)","(-217,)"
"('2022-03-29 17:28:16',)","(-37,)","(33,)","(-201,)"
"('2022-03-29 17:28:16',)","(-42,)","(32,)","(-188,)"
"('2022-03-29 17:28:16',)","(-47,)","(35,)","(-192,)"
"('2022-03-29 17:28:15',)","(-27,)","(31,)","(-195,)"
"('2022-03-29 17:28:14',)","(-45,)","(27,)","(-190,)"
"('2022-03-29 17:28:13',)","(-26,)","(27,)","(-207,)"
"('2022-03-29 17:28:13',)","(-26,)","(34,)","(-204,)"
"('2022-03-29 17:28:13',)","(-45,)","(36,)","(-222,)"
"('2022-03-29 17:28:13',)","(-60,)","(35,)","(-223,)"
"('2022-03-29 17:28:12',)","(-29,)","(21,)","(-209,)"
"('2022-03-29 17:28:12',)","(-37,)","(22,)","(-189,)"
"('2022-03-29 17:28:12',)","(-46,)","(21,)","(-173,)"
"('2022-03-29 17:28:12',)","(-58,)","(17,)","(-186,)"
"('2022-03-29 17:28:12',)","(-61,)","(18,)","(-211,)"
"('2022-03-29 17:28:12',)","(-42,)","(22,)","(-218,)"
"('2022-03-29 17:28:10',)","(-40,)","(10,)","(-213,)"
